"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Devenski, Chris",606965,"NYM","FC","Cutter",-1.5,-1,"45",17.2,"14","0.333","0.417","0.382",15,7.1,25,"0.31","0.468","0.389",45.5
"Fulmer, Carson",608334,"LAA","SL","Slider",-1.4,-1,"82",17.8,"14","0.308","0.308","0.277",21.7,7.1,7.1,"0.194","0.218","0.181",7.7
"Garrett, Reed",657585,"NYM","FF","4-Seam Fastball",-1.4,-1,"39",4,"14","0.182","0.273","0.304",25,42.9,20,"0.175","0.283","0.303",80
"Weems, Jordan",607179,"HOU","FF","4-Seam Fastball",-2.6,-2,"57",58.2,"14","0.5","0.667","0.536",22.6,0,0,"0.529","0.738","0.572",58.3
"Hancock, Emerson",676106,"SEA","ST","Sweeper",-5.9,-3,"46",3.2,"14","0.357","0.5","0.436",36.8,42.9,23.1,"0.278","0.369","0.282",25
"Strowd, Kade",669704,"BAL","CU","Curveball",2.4,1,"50",12.3,"14","0.154","0.231","0.204",30,35.7,21.7,"0.104","0.139","0.148",12.5
"Scholtens, Jesse",669947,"TB","SL","Slider",-0.5,0,"51",33.1,"14","0.308","0.308","0.371",37,35.7,41.7,"0.26","0.308","0.279",50
"Kelly, Kevin",687330,"TB","FC","Cutter",-3.8,-3,"75",12.8,"14","0.357","1","0.557",31.3,28.6,57.1,"0.295","0.835","0.466",60
"Hill, Rich",448179,"KC","FF","4-Seam Fastball",-6.2,-4,"63",36.8,"14","0.5","0.8","0.6",21.1,7.1,7.7,"0.387","0.763","0.545",66.7
"Taylor, Troy",700187,"SEA","FF","4-Seam Fastball",-2.9,-2,"64",47.1,"14","0.5","0.75","0.564",13.3,14.3,20,"0.453","0.784","0.553",50
"Ramírez, Yohan",670990,"PIT","SI","Sinker",-2.5,-1,"40",6.6,"14","0.273","0.364","0.368",0,7.1,14.3,"0.255","0.428","0.379",40
"Lara, Andry",691251,"WSH","SI","Sinker",-1.9,-1,"41",16.1,"14","0.462","0.615","0.523",10,7.1,50,"0.424","0.602","0.461",50
"Tinoco, Jesus",622786,"MIA","CH","Changeup",1.5,1,"46",15.1,"14","0.091","0.091","0.214",5.6,0,0,"0.181","0.224","0.287",18.2
"Montas, Frankie",593423,"NYM","FC","Cutter",-2.8,-2,"72",10.2,"14","0.385","0.692","0.539",23.1,0,0,"0.449","0.676","0.499",38.5
"Thompson, Ryan",657044,"AZ","FF","4-Seam Fastball",-2,-1,"50",7.7,"14","0.25","0.25","0.293",15.8,21.4,8.3,"0.162","0.183","0.23",11.1
"Sproat, Brandon",687075,"NYM","CU","Curveball",-2.6,-1,"43",14.8,"14","0.385","0.538","0.371",20.8,35.7,27.8,"0.301","0.353","0.273",33.3
"Núñez, Dedniel",673380,"NYM","FF","4-Seam Fastball",0.7,1,"96",52.5,"14","0.1","0.2","0.289",35.9,21.4,13.6,"0.163","0.436","0.376",42.9
"Martin, Davis",663436,"CWS","CU","Curveball",-2.4,-3,"111",4.8,"14","0.286","0.571","0.411",33.3,28.6,17.4,"0.269","0.517","0.379",20
"Montero, Rafael",606160,"DET","SI","Sinker",-2.1,-1,"53",4.9,"14","0.429","0.5","0.411",7.7,14.3,25,"0.332","0.373","0.313",25
"Maeda, Kenta",628317,"DET","FS","Split-Finger",-0.1,0,"62",36.5,"14","0.1","0.2","0.289",21.7,21.4,13.6,"0.21","0.267","0.35",42.9
"Thompson, Mason",666168,"WSH","FF","4-Seam Fastball",-0.3,0,"44",18.4,"14","0.25","0.333","0.318",25,21.4,16.7,"0.332","0.431","0.38",44.4
"Wells, Tyler",669330,"BAL","SL","Slider",0.7,0,"63",18.4,"14","0.286","0.571","0.361",24.2,28.6,17.4,"0.24","0.396","0.269",60
"Lively, Ben",594902,"CLE","CU","Curveball",-11.3,-6,"51",7.1,"14","0.429","1.071","0.621",16,21.4,10.3,"0.275","0.699","0.404",54.5
"Maxwell, Zach",687209,"CIN","FC","Cutter",-0.4,0,"40",24.2,"14","0.231","0.538","0.346",24,0,0,"0.291","0.474","0.351",53.8
"Matthews, Zebby",805673,"MIN","CU","Curveball",-1.1,-1,"78",5.8,"14","0.357","0.429","0.346",32.1,14.3,10.5,"0.304","0.487","0.338",41.7
"Tate, Dillon",622253,"TOR","ST","Sweeper",2.7,2,"60",43.2,"14","0.154","0.154","0.179",30.8,42.9,28.6,"0.188","0.231","0.22",14.3
"López, Jorge",605347,"WSH","CU","Curveball",-0.4,0,"65",16.8,"14","0.308","0.462","0.357",20,14.3,7.7,"0.188","0.295","0.239",36.4
"Anderson, Shaun",641312,"LAA","CH","Changeup",2.7,1,"48",22.2,"14","0.083","0.083","0.164",40.9,42.9,30,"0.1","0.167","0.196",33.3
"Eisert, Brandon",685126,"CWS","SI","Sinker",-5.8,-2,"41",3.4,"14","0.364","0.727","0.511",4.8,0,0,"0.13","0.26","0.28",9.1
"Bradish, Kyle",680694,"BAL","CU","Curveball",-2.7,-2,"63",12.8,"14","0.429","0.5","0.411",46.9,50,30.4,"0.267","0.338","0.261",57.1
"Edwards Jr., Carl",605218,"TEX","FF","4-Seam Fastball",-0.4,0,"46",51.1,"14","0.3","0.3","0.343",21.7,21.4,20,"0.198","0.348","0.323",25
"Winckowski, Josh",670174,"BOS","FC","Cutter",0.6,0,"55",26.6,"14","0.2","0.3","0.304",27.6,7.1,6.3,"0.23","0.518","0.382",30
"Silseth, Chase",681217,"LAA","FF","4-Seam Fastball",-0.3,0,"75",35.4,"14","0.3","0.7","0.496",41.5,35.7,25,"0.257","0.576","0.449",100
"Dreyer, Jack",676263,"LAD","CU","Curveball",-2.7,-3,"100",8.7,"14","0.357","0.643","0.425",25,21.4,10.7,"0.255","0.431","0.293",36.4
